program_code,region,model_line,my,term_months,model_code,model_description,bonus_cash,apr_tier_1,apr_tier_2,apr_tier_3,apr_tier_4,apr_tier_5,apr_tier_6,apr_tier_7,apr_tier_8
H700,MS,ELANTRA,2025,24,494J2F4S,4dr Sdn Limited,500,0.0299,0.0299,0.0399,0.0499,0.0699,0.0799,0.0899,0.1099
H700,MS,ELANTRA,2025,25-36,49452FT5,4dr Sdn N-Line,500,0.0299,0.0299,0.0399,0.0499,0.0699,0.0799,0.0899,0.1099
H700,MS,ELANTRA,2025,25-36,494E2F4S,4dr Sdn SE,500,0.0299,0.0299,0.0399,0.0499,0.0699,0.0799,0.0899,0.1099
H700,MS,ELANTRA,2025,25-36,494G2F4S,4dr Sdn SEL Sport,500,0.0299,0.0299,0.0399,0.0499,0.0699,0.0799,0.0899,0.1099
H700,MS,ELANTRA,2025,25-36,494H2F4S,4dr Sdn SEL Convenience,500,0.0299,0.0299,0.0399,0.0499,0.0699,0.0799,0.0899,0.1099
H700,MS,ELANTRA,2025,25-36,494J2F4S,4dr Sdn Limited,500,0.0299,0.0299,0.0399,0.0499,0.0699,0.0799,0.0899,0.1099
H700,MS,ELANTRA,2025,37-48,49452FT5,4dr Sdn N-Line,500,0.0299,0.0299,0.0399,0.0499,0.0699,0.0799,0.0899,0.1099
H700,MS,ELANTRA,2025,37-48,494E2F4S,4dr Sdn SE,500,0.0299,0.0299,0.0399,0.0499,0.0699,0.0799,0.0899,0.1099
H700,MS,ELANTRA,2025,37-48,494G2F4S,4dr Sdn SEL Sport,500,0.0299,0.0299,0.0399,0.0499,0.0699,0.0799,0.0899,0.1099
H700,MS,ELANTRA,2025,37-48,494H2F4S,4dr Sdn SEL Convenience,500,0.0299,0.0299,0.0399,0.0499,0.0699,0.0799,0.0899,0.1099
H700,MS,ELANTRA,2025,37-48,494J2F4S,4dr Sdn Limited,500,0.0299,0.0299,0.0399,0.0499,0.0699,0.0799,0.0899,0.1099
H700,MS,ELANTRA,2025,49-60,49452FT5,4dr Sdn N-Line,500,0.0349,0.0349,0.0449,0.0549,0.0749,0.0849,0.0949,0.1099
H700,MS,ELANTRA,2025,49-60,494E2F4S,4dr Sdn SE,500,0.0349,0.0349,0.0449,0.0549,0.0749,0.0849,0.0949,0.1099
H700,MS,ELANTRA,2025,49-60,494G2F4S,4dr Sdn SEL Sport,500,0.0349,0.0349,0.0449,0.0549,0.0749,0.0849,0.0949,0.1099
H700,MS,ELANTRA,2025,49-60,494H2F4S,4dr Sdn SEL Convenience,500,0.0349,0.0349,0.0449,0.0549,0.0749,0.0849,0.0949,0.1099
H700,MS,ELANTRA,2025,49-60,494J2F4S,4dr Sdn Limited,500,0.0349,0.0349,0.0449,0.0549,0.0749,0.0849,0.0949,0.1099
H700,MS,ELANTRA,2025,61-72,49452FT5,4dr Sdn N-Line,500,0.0449,0.0449,0.0549,0.0649,0.0849,0.0949,0.1049,0.1199
H700,MS,ELANTRA,2025,61-72,494E2F4S,4dr Sdn SE,500,0.0449,0.0449,0.0549,0.0649,0.0849,0.0949,0.1049,0.1199
H700,MS,ELANTRA,2025,61-72,494G2F4S,4dr Sdn SEL Sport,500,0.0449,0.0449,0.0549,0.0649,0.0849,0.0949,0.1049,0.1199
H700,MS,ELANTRA,2025,61-72,494H2F4S,4dr Sdn SEL Convenience,500,0.0449,0.0449,0.0549,0.0649,0.0849,0.0949,0.1049,0.1199
H700,MS,ELANTRA,2025,61-72,494J2F4S,4dr Sdn Limited,500,0.0449,0.0449,0.0549,0.0649,0.0849,0.0949,0.1049,0.1199
H700,MS,ELANTRA,2025,73-84,49452FT5,4dr Sdn N-Line,500,0.0699,0.0699,0.0799,0.0849,,,,
H700,MS,ELANTRA,2025,73-84,494E2F4S,4dr Sdn SE,500,0.0699,0.0699,0.0799,0.0849,,,,
H700,MS,ELANTRA,2025,73-84,494G2F4S,4dr Sdn SEL Sport,500,0.0699,0.0699,0.0799,0.0849,,,,
H700,MS,ELANTRA,2025,73-84,494H2F4S,4dr Sdn SEL Convenience,500,0.0699,0.0699,0.0799,0.0849,,,,
H700,MS,ELANTRA,2025,73-84,494J2F4S,4dr Sdn Limited,500,0.0699,0.0699,0.0799,0.0849,,,,
H700,MS,ELANTRA HEV,2026,24,494B2FBS,4dr Sdn SEL Sport Hybrid,0,0.0349,0.0349,0.0449,0.0549,0.0749,0.0849,0.0949,0.1099
H700,MS,ELANTRA HEV,2026,24,494C2FBS,4dr Sdn Blue Hybrid,0,0.0349,0.0349,0.0449,0.0549,0.0749,0.0849,0.0949,0.1099
H700,MS,ELANTRA HEV,2026,24,494D2FBS,4dr Sdn Limited Hybrid,0,0.0349,0.0349,0.0449,0.0549,0.0749,0.0849,0.0949,0.1099
